Player,Span,Matches,Innings,Balls,Runs,Wickets,BBI,Average,Economy,SR,4,5,Column 12
T Taibu (Afr/ZIM),2001-2012,150,2,84,61,2,2/42,30.50,4.35,42.0,0,0,
Tanvir Ahmed (PAK),2011-2011,2,2,60,83,2,1/38,41.50,8.30,30.0,0,0,
Tanzim Hasan Sakib (BAN),2023-2023,2,2,81,57,2,2/32,28.50,4.22,40.5,0,0,
HT Tector (IRE),2020-2023,40,6,180,195,2,1/20,97.50,6.50,90.0,0,0,
DC Thomas (WI),2009-2013,21,1,7,11,2,2/11,5.50,9.42,3.5,0,0,
PIC Thompson (WI),1997-1997,2,2,114,110,2,1/46,55.00,5.78,57.0,0,0,
GP Thorpe (ENG),1993-2002,82,5,120,97,2,2/15,48.50,4.85,60.0,0,0,
IJL Trott (ENG),2009-2013,68,10,183,166,2,2/31,83.00,5.44,91.5,0,0,
CM Tuckett (WI),1998-1998,1,1,48,41,2,2/41,20.50,5.12,24.0,0,0,
AJ Turner (AUS),2019-2021,9,2,84,60,2,1/23,30.00,4.28,42.0,0,0,
M van Jaarsveld (SA),2002-2004,11,2,31,18,2,1/0,9.00,3.48,15.5,0,0,
M van Lingen (NAM),2021-2023,28,9,86,69,2,1/0,34.50,4.81,43.0,0,0,
M Venkataramana (IND),1988-1988,1,1,60,36,2,2/36,18.00,3.60,30.0,0,0,
S Vesawkar (NEP),2018-2021,4,1,36,21,2,2/21,10.50,3.50,18.0,0,0,
C Viljoen (NAM),2019-2019,2,2,30,14,2,2/6,7.00,2.80,15.0,0,0,
KP Walmsley (NZ),2003-2003,2,2,120,117,2,1/53,58.50,5.85,60.0,0,0,
GD Watson (AUS),1972-1972,2,1,48,28,2,2/28,14.00,3.50,24.0,0,0,
DS Wesonga (KENYA),2010-2011,4,1,42,28,2,2/28,14.00,4.00,21.0,0,0,
RK Whelan (IRE),2007-2007,2,2,90,99,2,1/43,49.50,6.60,45.0,0,0,
CM Willoughby (SA),2000-2003,3,3,168,148,2,2/39,74.00,5.28,84.0,0,0,
Zafar Gohar (PAK),2015-2015,1,1,60,54,2,2/54,27.00,5.40,30.0,0,0,
Zahid Hussain (CAN),2011-2011,2,2,120,94,2,1/37,47.00,4.70,60.0,0,0,
MZ Zahir (CAN),2009-2009,1,1,30,35,2,2/35,17.50,7.00,15.0,0,0,
Zahir Khan (AFG),2019-2019,1,1,60,55,2,2/55,27.50,5.50,30.0,0,0,
Aamer Hameed (PAK),1977-1978,2,2,88,38,1,1/32,38.00,2.59,88.0,0,0,
Abdul Rahman (AFG),2023-2023,3,3,104,133,1,1/83,133.00,7.67,104.0,0,0,
Adhitya Shetty (UAE),2023-2023,1,1,60,56,1,1/56,56.00,5.60,60.0,0,0,
Ahmed Kamal (BAN),1999-1999,1,1,30,39,1,1/39,39.00,7.80,30.0,0,0,
Akeem Jordan (WI),2023-2023,2,2,66,56,1,1/36,56.00,5.09,66.0,0,0,
GW Aldridge (NZ),2011-2011,2,2,114,98,1,1/45,98.00,5.15,114.0,0,0,
Aminul Islam jnr (BAN),1999-1999,1,1,30,33,1,1/33,33.00,6.60,30.0,0,0,
SSD Arachchige (SL),2023-2023,2,1,30,18,1,1/18,18.00,3.60,30.0,0,0,
Arshad Ali (UAE),2004-2008,4,3,102,105,1,1/5,105.00,6.17,102.0,0,0,
Arshad Laeeq (UAE),1994-1996,6,6,198,198,1,1/25,198.00,6.00,198.0,0,0,
B Arun (IND),1986-1987,4,4,102,103,1,1/43,103.00,6.05,102.0,0,0,
Asim Saeed (UAE),2004-2004,2,2,54,40,1,1/25,40.00,4.44,54.0,0,0,
AAP Atkinson (ENG),2023-2023,3,3,102,94,1,1/23,94.00,5.52,102.0,0,0,
KMC Bandara (SL),2016-2016,1,1,60,83,1,1/83,83.00,8.30,60.0,0,0,
Basit Ali (PAK),1993-1996,50,2,30,21,1,1/17,21.00,4.20,30.0,0,0,
RR Beaton (WI),2017-2017,2,2,102,102,1,1/60,102.00,6.00,102.0,0,0,
JE Benjamin (ENG),1994-1995,2,2,72,47,1,1/22,47.00,3.91,72.0,0,0,
D Birrell (JER),2023-2023,1,1,60,54,1,1/54,54.00,5.40,60.0,0,0,
BR Blair (NZ),1982-1986,14,2,30,34,1,1/7,34.00,6.80,30.0,0,0,
NE Bonner (WI),2021-2022,6,3,65,55,1,1/29,55.00,5.07,65.0,0,0,
GK Bose (IND),1974-1974,1,1,66,39,1,1/39,39.00,3.54,66.0,0,0,
BP Bracewell (NZ),1978-1978,1,1,66,41,1,1/41,41.00,3.72,66.0,0,0,
KC Brathwaite (WI),2016-2017,10,5,152,140,1,1/56,140.00,5.52,152.0,0,0,
VR Brown (NZ),1988-1988,3,2,66,75,1,1/24,75.00,6.81,66.0,0,0,
DE Budge (SCOT),2018-2022,17,8,150,111,1,1/21,111.00,4.44,150.0,0,0,
MG Burgess (NZ),1973-1981,26,3,74,69,1,1/10,69.00,5.59,74.0,0,0,
RG Callender (CAN),1979-1979,2,2,54,26,1,1/14,26.00,2.88,54.0,0,0,
LOB Cann (BER),2006-2009,26,4,100,129,1,1/34,129.00,7.74,100.0,0,0,
SJ Chalmers (SCOT),2009-2009,2,2,60,49,1,1/34,49.00,4.90,60.0,0,0,
S Chattergoon (WI),2006-2009,18,4,80,48,1,1/1,48.00,3.60,80.0,0,0,
MT Chinouya (ZIM),2013-2013,2,2,66,50,1,1/36,50.00,4.54,66.0,0,0,
MJ Cosgrove (AUS),2006-2006,3,2,30,13,1,1/1,13.00,2.60,30.0,0,0,
CJ Dala (SA),2018-2018,2,2,102,121,1,1/57,121.00,7.11,102.0,0,0,
TH David (AUS),2023-2023,4,1,12,20,1,1/20,20.00,10.00,12.0,0,0,
Dawlat Ahmadzai (AFG),2009-2010,3,3,112,121,1,1/40,121.00,6.48,112.0,0,0,
TN de Grooth (NED),2006-2013,34,1,6,2,1,1/2,2.00,2.00,6.0,0,0,
JL Denly (ENG),2009-2020,16,4,102,101,1,1/24,101.00,5.94,102.0,0,0,
R Dhawan (IND),2016-2016,3,3,150,160,1,1/74,160.00,6.40,150.0,0,0,
MS Dhoni (Asia/IND),2004-2019,350,2,36,31,1,1/14,31.00,5.16,36.0,0,0,
DM Dupavillon (SA),2020-2021,2,2,66,51,1,1/21,51.00,4.63,66.0,0,0,
PS Eaglestone (IRE),2008-2008,1,1,42,60,1,1/60,60.00,8.57,42.0,0,0,
GN Edwards (NZ),1976-1981,6,1,6,5,1,1/5,5.00,5.00,6.0,0,0,
Faisal Hossain (BAN),2004-2010,6,2,73,53,1,1/27,53.00,4.35,73.0,0,0,
Fakhar Zaman (PAK),2017-2023,79,7,135,111,1,1/19,111.00,4.93,135.0,0,0,
AM Fernando (SL),2017-2022,5,4,180,202,1,1/64,202.00,6.73,180.0,0,0,
TL Fernando (SL),1989-1989,1,1,18,16,1,1/16,16.00,5.33,18.0,0,0,
SP Fleming (ICC/NZ),1994-2007,280,3,29,28,1,1/8,28.00,5.79,29.0,0,0,
MJ Fourie (IRE),2007-2008,7,5,179,128,1,1/33,128.00,4.29,179.0,0,0,
AN French (HKG),2004-2004,2,2,72,67,1,1/51,67.00,5.58,72.0,0,0,
AD Gaekwad (IND),1975-1987,15,1,48,39,1,1/39,39.00,4.87,48.0,0,0,
D Ganesh (IND),1997-1997,1,1,30,20,1,1/20,20.00,4.00,30.0,0,0,
TN Garwe (ZIM),2009-2009,1,1,36,50,1,1/50,50.00,8.33,36.0,0,0,
RS Gavaskar (IND),2004-2004,11,2,72,74,1,1/56,74.00,6.16,72.0,0,0,
SM Gavaskar (IND),1974-1987,108,4,20,25,1,1/10,25.00,7.50,20.0,0,0,
Y Goonasekera (SL),1983-1983,3,2,36,35,1,1/24,35.00,5.83,36.0,0,0,
EL Gouka (NED),1996-1996,3,2,22,51,1,1/32,51.00,13.90,22.0,0,0,
K Gowtham (IND),2021-2021,1,1,48,49,1,1/49,49.00,6.12,48.0,0,0,
VD Grandia (NED),2002-2002,1,1,30,40,1,1/40,40.00,8.00,30.0,0,0,
CG Greenidge (WI),1975-1991,128,2,60,45,1,1/21,45.00,4.50,60.0,0,0,
RD Gudhka (KENYA),2011-2011,2,2,78,60,1,1/41,60.00,4.61,78.0,0,0,
Habibul Bashar (BAN),1995-2007,111,6,175,142,1,1/31,142.00,4.86,175.0,0,0,
LJ Hamilton (NZ),2005-2005,2,2,108,143,1,1/76,143.00,7.94,108.0,0,0,
JR Hammond (AUS),1972-1972,1,1,54,41,1,1/41,41.00,4.55,54.0,0,0,
MJ Haslam (NZ),1992-1992,1,1,30,28,1,1/28,28.00,5.60,30.0,0,0,
AW Hawkins-Kay (JER),2023-2023,1,1,54,58,1,1/58,58.00,6.44,54.0,0,0,
DL Hemp (BER),2006-2009,22,4,114,119,1,1/25,119.00,6.26,114.0,0,0,
RR Hendricks (SA),2018-2023,29,3,42,47,1,1/13,47.00,6.71,42.0,0,0,
D Heyliger (CAN),2023-2023,2,2,78,45,1,1/34,45.00,3.46,78.0,0,0,
BJ Hodge (AUS),2005-2007,25,3,66,51,1,1/17,51.00,4.63,66.0,0,0,
DW Hookes (AUS),1977-1986,39,3,29,28,1,1/2,28.00,5.79,29.0,0,0,
DL Houghton (ZIM),1983-1997,63,1,12,19,1,1/19,19.00,9.50,12.0,0,0,
Ijaz Ahmed jnr (PAK),1997-1997,2,2,30,25,1,1/9,25.00,5.00,30.0,0,0,
Imran Nazir (PAK),1999-2009,79,4,49,48,1,1/3,48.00,5.87,49.0,0,0,
WG Jacks (ENG),2023-2023,4,3,84,72,1,1/18,72.00,5.14,84.0,0,0,
F Jansen (NED),1996-1996,2,2,54,62,1,1/40,62.00,6.88,54.0,0,0,
Jatinder Singh (OMA),2019-2023,46,3,42,37,1,1/11,37.00,5.28,42.0,0,0,
PS Jayaprakashdaran (SL),2005-2005,1,1,36,21,1,1/21,21.00,3.50,36.0,0,0,
TE Jesty (ENG),1983-1983,10,4,108,93,1,1/23,93.00,5.16,108.0,0,0,
Joginder Sharma (IND),2004-2007,4,4,150,115,1,1/28,115.00,4.60,150.0,0,0,
HR Johnson (USA),2004-2004,2,2,60,69,1,1/26,69.00,6.90,60.0,0,0,
S Jyoti (CAN),2006-2010,14,4,120,90,1,1/26,90.00,4.50,120.0,0,0,
VG Kambli (IND),1991-2000,104,1,4,7,1,1/7,7.00,10.50,4.0,0,0,
Kashif Raza (PAK),2001-2001,1,1,30,36,1,1/36,36.00,7.20,30.0,0,0,
GE Kidd (IRE),2007-2008,6,5,216,172,1,1/27,172.00,4.77,216.0,0,0,
D Lakshan (SL),2021-2022,3,3,66,76,1,1/43,76.00,6.90,66.0,0,0,
R Lamba (IND),1986-1989,32,3,19,20,1,1/9,20.00,6.31,19.0,0,0,
D Lloyd (ENG),1973-1980,8,1,12,3,1,1/3,3.00,1.50,12.0,0,0,
JL Louw (NAM),2003-2003,1,1,60,60,1,1/60,60.00,6.00,60.0,0,0,
DJ Malan (ENG),2019-2023,23,2,15,17,1,1/5,17.00,6.80,15.0,0,0,
G Malla (NEP),2018-2023,37,2,18,18,1,1/6,18.00,6.00,18.0,0,0,
SV Manjrekar (IND),1988-1996,74,3,8,10,1,1/2,10.00,7.50,8.0,0,0,
AV Mankad (IND),1974-1974,1,1,35,47,1,1/47,47.00,8.05,35.0,0,0,
Mansoor Amjad (PAK),2008-2008,1,1,48,44,1,1/44,44.00,5.50,48.0,0,0,
AW Mathieson (NZ),2015-2015,1,1,24,40,1,1/40,40.00,10.00,24.0,0,0,
Matiullah Khan (UAE),2023-2023,1,1,30,37,1,1/37,37.00,7.40,30.0,0,0,
DES Maxwell (CAN),2006-2007,10,3,72,70,1,1/23,70.00,5.83,72.0,0,0,
T Mishra (KENYA),2006-2013,42,2,9,12,1,1/6,12.00,8.00,9.0,0,0,
Mohammad Abbas (PAK),2019-2019,3,3,162,153,1,1/44,153.00,5.66,162.0,0,0,
Mohammad Yousuf (Asia/PAK),1998-2010,288,2,2,1,1,1/0,1.00,3.00,2.0,0,0,
Mohsin Khan (PAK),1977-1986,75,2,12,5,1,1/2,5.00,2.50,12.0,0,0,
Mujahid Jamshed (PAK),1997-1997,4,1,24,6,1,1/6,6.00,1.50,24.0,0,0,
W Mwayenga (ZIM),2002-2004,3,3,126,157,1,1/61,157.00,7.47,126.0,0,0,
D Myers (ZIM),2021-2022,5,1,12,13,1,1/13,13.00,6.50,12.0,0,0,
J Nagenda (EAf),1975-1975,1,1,54,50,1,1/50,50.00,5.55,54.0,0,0,
PG Nana (EAf),1975-1975,3,3,173,116,1,1/34,116.00,4.02,173.0,0,0,
DP Nannes (AUS),2009-2009,1,1,42,20,1,1/20,20.00,2.85,42.0,0,0,
SV Nayak (IND),1981-1982,4,4,222,161,1,1/51,161.00,4.35,222.0,0,0,
Najmul Hossain Shanto (BAN),2018-2023,32,4,44,40,1,1/10,40.00,5.45,44.0,0,0,
A Ndlovu (ZIM),2019-2019,2,2,102,80,1,1/29,80.00,4.70,102.0,0,0,
Neeyamur Rashid (BAN),1999-1999,2,2,78,66,1,1/46,66.00,5.07,78.0,0,0,
AA Noffke (AUS),2008-2008,1,1,54,46,1,1/46,46.00,5.11,54.0,0,0,
SD Outerbridge (BER),2006-2009,23,7,120,94,1,1/11,94.00,4.70,120.0,0,0,
JS Paris (AUS),2016-2016,2,2,96,93,1,1/40,93.00,5.81,96.0,0,0,
JM Parker (NZ),1974-1981,24,1,16,10,1,1/10,10.00,3.75,16.0,0,0,
DA Payne (ENG),2022-2022,1,1,54,38,1,1/38,38.00,4.22,54.0,0,0,
AJ Penn (NZ),1997-2001,5,5,159,201,1,1/50,201.00,7.58,159.0,0,0,
N Phillip (WI),1978-1978,1,1,42,22,1,1/22,22.00,3.14,42.0,0,0,
K Pierre (WI),2019-2020,3,3,156,158,1,1/50,158.00,6.07,156.0,0,0,
TJG Pringle (NED),2022-2022,4,4,199,221,1,1/51,221.00,6.66,199.0,0,0,
PM Pushpakumara (SL),2017-2017,2,2,114,105,1,1/40,105.00,5.52,114.0,0,0,
S Ramesh (IND),1999-1999,24,3,36,38,1,1/23,38.00,6.33,36.0,0,0,
N Ranatunga (SL),1993-1993,2,2,102,82,1,1/33,82.00,4.82,102.0,0,0,
SHA Rance (NZ),2017-2017,2,2,105,110,1,1/44,110.00,6.28,105.0,0,0,
U Ranchod (ZIM),1992-1993,3,3,174,130,1,1/44,130.00,4.48,174.0,0,0,
DW Randall (ENG),1976-1985,49,1,2,2,1,1/2,2.00,6.00,2.0,0,0,
Randhir Singh (IND),1981-1983,2,2,72,48,1,1/30,48.00,4.00,72.0,0,0,
SS Raul (IND),1998-1998,2,2,36,27,1,1/13,27.00,4.50,36.0,0,0,
Ravi Bishnoi (IND),2022-2022,1,1,48,69,1,1/69,69.00,8.62,48.0,0,0,
Raza-ur-Rehman (CAN),2013-2014,6,5,122,128,1,1/59,128.00,6.29,122.0,0,0,
Raza Hasan (PAK),2014-2014,1,1,60,68,1,1/68,68.00,6.80,60.0,0,0,
V Razdan (IND),1989-1990,3,3,84,77,1,1/37,77.00,5.50,84.0,0,0,
CA Reid (USA),2004-2004,2,2,78,63,1,1/37,63.00,4.84,78.0,0,0,
RB Reid (NZ),1988-1991,9,1,7,13,1,1/13,13.00,11.14,7.0,0,0,
RB Richardson (WI),1983-1996,224,6,58,46,1,1/4,46.00,4.75,58.0,0,0,
CP Rizwan (UAE),2019-2023,41,5,58,50,1,1/19,50.00,5.17,58.0,0,0,
ADG Roberts (NZ),1976-1976,1,1,56,30,1,1/30,30.00,3.21,56.0,0,0,
RJ Robinson (BER),2007-2009,3,3,138,170,1,1/57,170.00,7.39,138.0,0,0,
TS Roland-Jones (ENG),2017-2017,1,1,42,34,1,1/34,34.00,4.85,42.0,0,0,
LC Romero (USA),2004-2004,2,1,24,52,1,1/52,52.00,13.00,24.0,0,0,
RR Rossouw (SA),2014-2016,36,3,45,44,1,1/17,44.00,5.86,45.0,0,0,
Sameer Zia (UAE),2004-2004,1,1,60,44,1,1/44,44.00,4.40,60.0,0,0,
Saqib Ali (UAE),2008-2014,5,2,60,57,1,1/44,57.00,5.70,60.0,0,0,
Saud Shakeel (PAK),2021-2023,8,3,47,37,1,1/14,37.00,4.72,47.0,0,0,
Sayed Shirzad (AFG),2019-2019,2,1,48,56,1,1/56,56.00,7.00,48.0,0,0,
BN Schultz (SA),1992-1992,1,1,54,35,1,1/35,35.00,3.88,54.0,0,0,
BB Seebaran (CAN),2003-2003,4,3,108,130,1,1/61,130.00,7.22,108.0,0,0,
RK Sethi (EAf),1975-1975,3,3,120,100,1,1/51,100.00,5.00,120.0,0,0,
Shahnawaz Dahani (PAK),2022-2022,2,2,96,73,1,1/36,73.00,4.56,96.0,0,0,
Shehzad Altaf (UAE),1996-1996,2,2,78,37,1,1/15,37.00,2.84,78.0,0,0,
Shakeel Khan (PAK),1987-1987,1,1,54,50,1,1/50,50.00,5.55,54.0,0,0,
M Shezi (SA),2014-2014,1,1,36,8,1,1/8,8.00,1.33,36.0,0,0,
LR Shukla (IND),1999-1999,3,3,114,94,1,1/25,94.00,4.94,114.0,0,0,
K Shuttleworth (ENG),1971-1971,1,1,56,29,1,1/29,29.00,3.10,56.0,0,0,
LPC Silva (SL),1999-2011,75,2,42,33,1,1/21,33.00,4.71,42.0,0,0,
LMP Simmons (WI),2006-2015,68,12,156,172,1,1/3,172.00,6.61,156.0,0,0,
RP Singh (IND),1986-1986,2,2,82,77,1,1/58,77.00,5.63,82.0,0,0,
MA Small (WI),1984-1984,2,2,84,54,1,1/40,54.00,3.85,84.0,0,0,
RAJ Smith (SCOT),2016-2016,2,2,90,97,1,1/34,97.00,6.46,90.0,0,0,
GS Sobers (WI),1973-1973,1,1,63,31,1,1/31,31.00,2.95,63.0,0,0,
Sohaib Maqsood (PAK),2013-2021,29,4,54,42,1,1/16,42.00,4.66,54.0,0,0,
VS Solanki (ENG),2000-2006,51,7,111,105,1,1/17,105.00,5.67,111.0,0,0,
GM Strydom (ZIM),2006-2006,12,4,66,61,1,1/28,61.00,5.54,66.0,0,0,
R Strydom (IRE),2008-2008,9,1,48,63,1,1/63,63.00,7.87,48.0,0,0,
Subashis Roy (BAN),2016-2016,1,1,60,45,1,1/45,45.00,4.50,60.0,0,0,
Syed Maqsood (UAE),2004-2004,2,2,66,84,1,1/60,84.00,7.63,66.0,0,0,
Tanvir Mehdi (PAK),1992-1992,1,1,66,72,1,1/72,72.00,6.54,66.0,0,0,
Taufeeq Umar (PAK),2001-2011,22,3,72,85,1,1/49,85.00,7.08,72.0,0,0,
GJ Thompson (IRE),2008-2008,3,3,72,73,1,1/35,73.00,6.08,72.0,0,0,
AL Thomson (AUS),1971-1971,1,1,64,22,1,1/22,22.00,2.06,64.0,0,0,
CK Tshuma (ZIM),2020-2020,2,2,66,83,1,1/35,83.00,7.54,66.0,0,0,
Tushar Imran (BAN),2001-2007,41,5,126,103,1,1/24,103.00,4.90,126.0,0,0,
Umair Ali (UAE),2015-2015,2,2,108,125,1,1/65,125.00,6.94,108.0,0,0,
Usman Ghani (AFG),2014-2022,17,2,38,34,1,1/21,34.00,5.36,38.0,0,0,
Usman Qadir (PAK),2021-2021,1,1,54,48,1,1/48,48.00,5.33,54.0,0,0,
HE van der Dussen (SA),2019-2023,51,1,6,3,1,1/3,3.00,3.00,6.0,0,0,
BO van Rooi (NAM),2003-2003,3,3,120,119,1,1/24,119.00,5.95,120.0,0,0,
TF van Woerkom (IRE),2023-2023,1,1,24,47,1,1/47,47.00,11.75,24.0,0,0,
MA Vermeulen (ZIM),2000-2009,43,1,5,5,1,1/5,5.00,6.00,5.0,0,0,
M Vijay (IND),2010-2015,17,2,36,37,1,1/19,37.00,6.16,36.0,0,0,
JM Vince (ENG),2015-2023,25,2,42,38,1,1/18,38.00,5.42,42.0,0,0,
L Vincent (NZ),2001-2007,102,3,20,25,1,1/0,25.00,7.50,20.0,0,0,
Waheed Ahmed (UAE),2019-2021,7,6,120,94,1,1/20,94.00,4.70,120.0,0,0,
Wasim Haider (PAK),1992-1992,3,3,114,79,1,1/36,79.00,4.15,114.0,0,0,
S Weerakoon (SL),2012-2012,2,1,60,49,1,1/49,49.00,4.90,60.0,0,0,
BA Westdijk (NED),2011-2011,4,4,156,195,1,1/56,195.00,7.50,156.0,0,0,
S Wettimuny (SL),1982-1987,35,6,57,70,1,1/13,70.00,7.36,57.0,0,0,
B White (IRE),2023-2023,2,2,108,118,1,1/59,118.00,6.55,108.0,0,0,
LB Williams (SA),2021-2021,1,1,48,62,1,1/62,62.00,7.75,48.0,0,0,
SC Williams (WI),1994-1999,57,1,24,30,1,1/30,30.00,7.50,24.0,0,0,
DJ Worrall (AUS),2016-2016,3,3,158,171,1,1/43,171.00,6.49,158.0,0,0,
J Yadav (IND),2016-2022,2,2,84,61,1,1/8,61.00,4.35,84.0,0,0,
Yashpal Sharma (IND),1978-1985,42,8,201,199,1,1/27,199.00,5.94,201.0,0,0,
BE Young (AUS),1998-1999,6,5,234,251,1,1/26,251.00,6.43,234.0,0,0,
Zain Abbas (HKG),2008-2008,1,1,36,56,1,1/56,56.00,9.33,36.0,0,0,
AK Zesers (AUS),1987-1987,2,2,90,74,1,1/37,74.00,4.93,90.0,0,0,
ME Sanuth (OMA),2020-2020,3,3,60,61,0,-,-,6.10,-,0,0,
Aaron Jones (USA),2019-2023,43,9,186,174,0,-,-,5.61,-,0,0,
S Abrahams (SA),2000-2000,1,1,60,40,0,-,-,4.00,-,0,0,
Abul Hasan (BAN),2012-2018,7,7,216,244,0,-,-,6.77,-,0,0,
WA Agar (AUS),2021-2021,2,2,66,39,0,-,-,3.54,-,0,0,
MA Agarwal (IND),2020-2020,5,1,6,10,0,-,-,10.00,-,0,0,
FS Ahangama (SL),1985-1985,1,1,18,23,0,-,-,7.66,-,0,0,
Ahmed Shah (AFG),2009-2009,1,1,6,12,0,-,-,12.00,-,0,0,
Akram Khan (BAN),1988-2003,44,6,117,138,0,-,-,7.07,-,0,0,
Aman Ali (UAE),2008-2008,1,1,12,22,0,-,-,11.00,-,0,0,
PK Amre (IND),1991-1994,37,1,2,4,0,-,-,12.00,-,0,0,
J Anderson (IRE),2014-2016,8,2,30,20,0,-,-,4.00,-,0,0,
Anisur Rahman (BAN),1995-1998,2,2,48,68,0,-,-,8.50,-,0,0,
Anwar Hossain Monir (BAN),2002-2002,1,1,48,45,0,-,-,5.62,-,0,0,
Ariful Haque (BAN),2018-2018,1,1,18,17,0,-,-,5.66,-,0,0,
Arshdeep Singh (IND),2022-2022,3,2,79,89,0,-,-,6.75,-,0,0,
Asad Shafiq (PAK),2010-2017,60,2,12,18,0,-,-,9.00,-,0,0,
Ashfaq Ahmed (PAK),1994-1994,3,3,102,84,0,-,-,4.94,-,0,0,
Asif Ali (PAK),2018-2022,21,1,5,9,0,-,-,10.80,-,0,0,
Asif Iqbal (1) (UAE),2015-2015,1,1,24,32,0,-,-,8.00,-,0,0,
SK Atai (PNG),2019-2022,15,2,48,35,0,-,-,4.37,-,0,0,
MS Atapattu (SL),1990-2007,268,2,51,41,0,-,-,4.82,-,0,0,
A Athanaze (WI),2023-2023,4,1,6,7,0,-,-,7.00,-,0,0,
CWJ Athey (ENG),1980-1988,31,1,6,10,0,-,-,10.00,-,0,0,
RA Austin (WI),1978-1978,1,1,6,13,0,-,-,13.00,-,0,0,
Babar Hayat (HKG),2014-2018,22,1,6,9,0,-,-,9.00,-,0,0,
Badal Singh (OMA),2020-2020,2,2,60,70,0,-,-,7.00,-,0,0,
RJ Bailey (ENG),1985-1990,4,1,36,25,0,-,-,4.16,-,0,0,
KNA Bandara (SL),2021-2023,6,1,6,8,0,-,-,8.00,-,0,0,
W Barresi (NED),2010-2023,45,3,30,37,0,-,-,7.40,-,0,0,
OO Bascome (BER),2008-2008,6,2,18,22,0,-,-,7.33,-,0,0,
TC Bastiampillai (CAN),2007-2014,13,3,24,31,0,-,-,7.75,-,0,0,
T Bavuma (SA),2016-2023,32,1,37,22,0,-,-,3.56,-,0,0,
Bazid Khan (PAK),2004-2008,5,1,12,11,0,-,-,5.50,-,0,0,
CA Best (WI),1986-1992,24,2,19,12,0,-,-,3.78,-,0,0,
MI Black (WI),2001-2001,5,5,228,196,0,-,-,5.15,-,0,0,
J Blackwood (WI),2015-2022,3,1,18,16,0,-,-,5.33,-,0,0,
DL Blake (USA),2004-2004,1,1,6,7,0,-,-,7.00,-,0,0,
DG Blampied (JER),2023-2023,3,3,78,77,0,-,-,5.92,-,0,0,
GH Bodi (SA),2007-2007,2,1,6,8,0,-,-,8.00,-,0,0,
A Bohara (NEP),2020-2020,2,2,66,51,0,-,-,4.63,-,0,0,
DC Boon (AUS),1984-1995,181,7,82,86,0,-,-,6.29,-,0,0,
SG Borthwick (ENG),2011-2011,2,2,54,72,0,-,-,8.00,-,0,0,
T Bosch (SA),1992-1992,2,2,51,66,0,-,-,7.76,-,0,0,
JWHD Boteju (SL),1999-1999,2,2,102,113,0,-,-,6.64,-,0,0,
SA Britton (IRE),2009-2009,1,1,36,37,0,-,-,6.16,-,0,0,
BC Broad (ENG),1987-1988,34,1,6,6,0,-,-,6.00,-,0,0,
AD Brown (ENG),1996-2001,16,1,6,5,0,-,-,5.00,-,0,0,
CE Bulfin (NZ),1999-1999,4,3,102,109,0,-,-,6.41,-,0,0,
SF Burger (NAM),2003-2003,2,2,66,67,0,-,-,6.09,-,0,0,
JD Campbell (WI),2019-2019,6,1,6,13,0,-,-,13.00,-,0,0,
MA Carberry (ENG),2013-2014,6,1,6,12,0,-,-,12.00,-,0,0,
KED Carroll (IRE),2007-2007,6,1,6,8,0,-,-,8.00,-,0,0,
KU Carty (WI),2022-2023,16,3,25,28,0,-,-,6.72,-,0,0,
G Chapple (ENG),2006-2006,1,1,24,14,0,-,-,3.50,-,0,0,
J Charles (WI),2012-2023,58,1,5,12,0,-,-,14.40,-,0,0,
K Christie (HKG),2016-2016,1,1,6,18,0,-,-,18.00,-,0,0,
DB Close (ENG),1972-1972,3,1,18,21,0,-,-,7.00,-,0,0,
DJ Colley (AUS),1972-1972,1,1,66,72,0,-,-,6.54,-,0,0,
AN Connolly (AUS),1971-1971,1,1,64,62,0,-,-,5.81,-,0,0,
JJ Crowe (NZ),1983-1990,75,1,6,1,0,-,-,1.00,-,0,0,
CD Cumming (NZ),2003-2009,13,1,18,17,0,-,-,5.66,-,0,0,
Danish Aziz (PAK),2021-2021,2,2,30,27,0,-,-,5.40,-,0,0,
O Davidson (SCOT),2022-2022,1,1,54,30,0,-,-,3.33,-,0,0,
GN de Silva (SL),1983-1985,4,4,194,169,0,-,-,5.22,-,0,0,
BJ Diamanti (NZ),2009-2009,1,1,12,25,0,-,-,12.50,-,0,0,
S Dube (IND),2019-2019,1,1,47,68,0,-,-,8.68,-,0,0,
DD Ebrahim (ZIM),2001-2005,82,2,5,11,0,-,-,13.20,-,0,0,
BA Edgar (NZ),1978-1986,64,1,12,5,0,-,-,2.50,-,0,0,
WJ Edwards (AUS),1975-1975,1,1,1,0,0,-,-,0.00,-,0,0,
RR Emrit (WI),2007-2007,2,2,84,99,0,-,-,7.07,-,0,0,
JJ Esmeijer (NED),2002-2003,6,6,228,208,0,-,-,5.47,-,0,0,
Fahim Muntasir (BAN),2001-2002,3,3,169,111,0,-,-,3.94,-,0,0,
NH Fairbrother (ENG),1987-1999,75,1,6,9,0,-,-,9.00,-,0,0,
Faisal Iqbal (PAK),2000-2006,18,2,18,33,0,-,-,11.00,-,0,0,
Fayyaz Ahmed (UAE),2014-2016,3,3,162,121,0,-,-,4.48,-,0,0,
Fazl-e-Akbar (PAK),1998-2001,2,2,72,48,0,-,-,4.00,-,0,0,
Fazle Mahmud (BAN),2018-2018,2,1,18,16,0,-,-,5.33,-,0,0,
